Link+AF8-ID,Time,Moving+AF8-Average+AF8-throughput,Instantaneous+AF8-throughput,Time+AF8-average+AF8-throughput
3,138286001.2,0.584737134,0.29952,0.580943662
3,138286001.3,0.584743844,0.31808,0.580943662
3,138286002.2,0.584748006,0.3296,0.580943662
3,138286002.3,0.584753675,0.34528,0.580943662
3,138306000.8,0.584698968,0.34432,0.580943662
3,138306001.3,0.584730317,0.43104,0.580943662
3,138306002.6,0.584789022,0.59344,0.580943662
3,138306003.4,0.584849233,0.76,0.580943662
3,138311001,0.584865986,0.79696,0.580943662
3,138311001.6,0.584905373,0.90592,0.580943662
3,138321000.2,0.584869918,0.9248,0.580943662
3,138321000.3,0.584878246,0.92624,0.580943662
3,138326000.1,0.584861443,0.91248,0.580943662
3,138326000.2,0.584867284,0.92864,0.580943662
3,138326001.1,0.584871849,0.94128,0.580943662
3,138326001.2,0.584877921,0.95808,0.580943662
3,138326002.2,0.584882254,0.97008,0.580943662
3,138326002.3,0.584888095,0.98624,0.580943662
3,138331000.2,0.584874366,1.00672,0.580943662
3,138331000.3,0.584883271,1.0048,0.580943662
3,138331001.4,0.584896973,1.012,0.580943662
3,138331001.6,0.584912182,1.05408,0.580943662
3,138366000.1,0.584768107,0.26352,0.580943662
3,138366000.2,0.584773484,0.2784,0.580943662
3,138366001.1,0.584778857,0.29328,0.580943662
3,138366001.2,0.584785737,0.31232,0.580943662
3,138366002.2,0.584789607,0.32304,0.580943662
3,138366002.3,0.584794983,0.33792,0.580943662
3,138371000.3,0.584783053,0.34448,0.580943662
3,138371000.4,0.584793748,0.35104,0.580943662
3,138391000.2,0.584717156,0.16208,0.580943662
3,138391000.3,0.584726578,0.18816,0.580943662
3,138391001.3,0.58473588,0.21392,0.580943662
3,138391001.5,0.58474669,0.24384,0.580943662
3,138406000.8,0.584711816,0.32272,0.580943662
3,138406001.2,0.584741812,0.40576,0.580943662
3,138406001.9,0.584755335,0.4432,0.580943662
3,138406002.4,0.584770361,0.4848,0.580943662
3,138411000.9,0.584782997,0.57824,0.580943662
3,138411001.4,0.584818253,0.67584,0.580943662
3,138411002,0.58482247,0.68752,0.580943662
3,138411002.5,0.58482819,0.70336,0.580943662
3,138411003,0.584832233,0.71456,0.580943662
3,138411003.5,0.58483778,0.72992,0.580943662
3,138411004,0.58484165,0.74064,0.580943662
3,138411004.5,0.584847023,0.75552,0.580943662
3,138441000.3,0.584731978,0.62576,0.580943662
3,138441000.5,0.584745153,0.63616,0.580943662
3,138446000.1,0.584728081,0.59168,0.580943662
3,138446000.2,0.584733628,0.60704,0.580943662
3,138446001.1,0.584737785,0.61856,0.580943662
